,Cer 36:1;O2,Cer 40:0;O2,Cer 40:1;O2,Cer 40:2;O2,Cer 41:2;O2,Cer 42:1;O2,Cer 42:2;O2,DG 35:0,Hex2Cer 40:0;O2,Hex2Cer 40:1;O2,HexCer 36:1;O2,HexCer 40:0;O2,HexCer 40:1;O2,HexCer 40:2;O2,HexCer 42:1;O2,HexCer 42:2;O2,LPA 18:1,LPC 16:0,LPC 18:0,LPC 18:1,LPC 20:1,LPC 20:4,LPC 22:6,LPC O-16:0,LPC O-18:0,LPE 18:0,LPE 18:1,LPE 20:0,LPE 22:1,LPE 22:4,LPE 22:6,LPG 20:1,LPS 16:0,PA 32:0,PA 32:1,PA 34:1,PA 36:1,PA 36:2,PA 36:4,PA 38:3,PA 38:4,PA 38:5,PA 40:4,PA 40:6,PC 30:0,PC 32:0,PC 32:1,PC 34:0,PC 34:1,PC 34:2,PC 35:0,PC 36:1,PC 36:2,PC 36:3,PC 38:1,PC 38:2,PC 38:4,PC 38:5,PC 38:6,PC 38:7,PC 40:1,PC 40:2,PC 40:4,PC 40:6,PC 40:7,PC 42:1,PC O-32:0,PC O-34:1,PC O-36:1,PE 36:0,PE 36:1,PE 38:4,PE 38:6,PE 38:7,PE 40:4,PE 40:6,PE 40:7,PE 42:6,PE 42:9,PE O-36:1,PG 34:1,PG 35:0,PG 36:1,PG 36:2,PG 37:1,PG 38:3,PG 38:4,PG 40:4,PG 40:5,PG 40:6,PS 32:1,PS 34:1,PS 36:0,PS 36:1,PS 36:2,PS 36:3,PS 36:4,PS 38:1,PS 38:5,PS 40:6,PS 42:6,PS 42:9,SM 36:1;O2,SM 41:2;O2,SM 42:1;O2,SM 42:2;O2
Cer 36:1;O2,1.0,-0.5461736084399093,-0.5764424619922659,-0.44037820195978117,-0.5060181761737313,-0.525453217085974,-0.43518195354478173,0.7517041837169416,-0.6211179144219319,-0.6361149921377464,-0.6552486392746917,-0.6038288557178317,-0.5283885040059262,-0.520129191714013,-0.5331882414522464,-0.5464630013418815,0.08217137592740018,-0.020058490264500857,-0.11989669592813916,-0.10629275738225043,0.6505664763663087,0.2677931222268953,0.6447311638524437,0.15629589842176808,-0.6099784420770796,0.2777583731367371,-0.49970357993626013,-0.5825019468523265,-0.5736139336272619,-0.06463955252205791,0.7437052531111169,-0.1774527327230422,-0.581002538558202,0.6212612481587353,0.31933378921786354,0.7893934766370024,0.6730218839085896,0.6788244781810233,0.5740472502592613,0.06530420853347105,-0.11283413241981186,0.5928300786678026,0.8387561074950596,0.6299554602167404,0.3976557250684828,0.6420103831796328,0.5805299877617952,0.7018123936900912,0.5056032688353442,0.508372340912371,-0.01923712167613951,-0.19536961501727637,-0.05444828899636897,0.5155668626357247,-0.4924187327756217,-0.49095313153844383,0.7114344600933072,0.6316626590624038,0.5701714697939959,0.7263633860531472,-0.4283129739284228,-0.5998261979071696,0.40412209091791274,0.4054922130924389,0.5531109178132118,-0.402689697894182,0.524236545125697,-0.4878052364645206,-0.5943725347864994,0.813873793754404,0.1273391088331699,0.7304468777085759,0.776566629601578,0.5995338237986927,0.43727165324696954,0.754954424979401,0.7056561273852021,0.6720975989650347,0.6865686618728355,-0.5663773054690724,0.5842040408327186,0.8731434111781436,0.702263934584022,0.48331545097191303,-0.286912607328436,0.5827013743295296,0.6159684476361448,0.7080536133307462,0.716366144496572,0.5772020900789986,-0.247415986898006,0.3346587007767647,0.6234226378842629,-0.3536170836452715,0.5915768635388654,0.8469939943269986,0.6087138302481894,-0.5979656860702898,0.90510578307485,0.847499779121847,-0.5061696281100503,0.5019605267895675,0.684697001210954,0.7945373133759831,-0.5196687382168264,-0.5616806785326587
Cer 40:0;O2,-0.5461736084399093,1.0,0.891038310391302,0.8750437772822394,0.979371332641366,0.7763353830110706,0.8805297860455327,-0.5788012209217304,0.9137705699916886,0.9394696839088982,0.901316765301639,0.9144963001927593,0.8746228237907631,0.8819470784024662,0.8826010829933347,0.9105528657580374,0.1390298482911524,-0.1068937168059037,0.1824026429984526,0.5389523458463117,-0.24331225699783562,-0.4504297365074616,-0.6679232288300586,0.2726747627408023,0.8928784150309844,0.1247464412536126,0.9328134333520414,0.8507743620399364,0.830237168429345,0.45717971747027136,-0.46567172276886665,0.5560878107801588,0.9454238741376874,-0.39143124812962343,0.02581349977515252,-0.6821137573471349,-0.4317044523160197,-0.3434736425466107,-0.31017252523623945,0.22190968898528526,0.5921448889127144,-0.776191363762008,-0.6070438952661411,-0.5466207134396981,-0.13037926486769197,-0.4797592864401966,-0.21712194391705592,-0.4191408395799608,-0.049665385168810965,-0.47315368803797353,0.01628931040293755,0.7295761203678581,0.5504505981432465,-0.4305898186797236,0.8720546154589768,0.8778659573550205,-0.5053632240064507,-0.6931311265026384,-0.39412228452688086,-0.5539552381869127,0.7411685594736817,0.9542875995201834,-0.22702515687444838,-0.32177663502217324,-0.40944496810094416,0.698986897770763,-0.293820293832725,0.8209894525509144,0.9034559018792317,-0.5512295741611843,0.5759868492983778,-0.3206705216028006,-0.4707472833973324,-0.43782621077596406,-0.0723813143732473,-0.325411191272598,-0.4986413044737277,-0.5973256135504728,-0.43481966278025974,0.8243474950158125,-0.2757596179225149,-0.5801092839406897,-0.4344237022816553,-0.4134374898343869,0.8286007498560264,-0.4977014550464954,-0.6278813546855129,-0.5034823197539011,-0.5322621037291894,-0.39816525077574677,0.4992287981633185,-0.16059501163004972,-0.40431042698429975,0.7571598322440771,-0.23507689513520102,-0.6391085974775998,-0.11372599527697888,0.9311644349586327,-0.6459020233552919,-0.4357042678565338,0.8903602866982009,-0.4438775194437186,-0.5470112667368455,-0.5935543388328897,0.674319576282159,0.8957338574402576
Cer 40:1;O2,-0.5764424619922659,0.891038310391302,1.0,0.8040724875987557,0.8383005289987258,0.8513397251032769,0.7876264949830646,-0.6610473393027009,0.802483727765659,0.8090955554300193,0.860515508121621,0.9226864236024384,0.8377679215805105,0.8127654182343449,0.8434067565053208,0.8585048898283092,0.1856857881097327,-0.02280689792693129,0.12756236454808934,0.45545399702012573,-0.2926056260842078,-0.3958185969987201,-0.6603030472820645,0.22554723714641275,0.8106647444196787,0.036527151275619035,0.8421910630176747,0.9240185460673316,0.9234105205606944,0.40759708330931854,-0.48878163621174275,0.46084379775604145,0.8614081570594384,-0.40031721684991245,0.09808884416952876,-0.6390348805059864,-0.478079677090289,-0.3843491517409422,-0.2601133248771411,0.15732858843164782,0.5214351071434152,-0.6649290139169685,-0.6180611104430279,-0.5434967745339228,-0.07214509236598639,-0.4218627944635643,-0.19654239049941435,-0.41682343513832165,-0.05623200992027946,-0.44028330444945424,-0.14132606550701857,0.5967316895735232,0.46696471438816084,-0.4461696811491452,0.7819251585504383,0.8321426042690999,-0.5110224737490208,-0.6114415310623222,-0.4523960995469302,-0.6010886907247798,0.6506874311932724,0.8799595981955115,-0.2744913796475844,-0.34065012177528,-0.4703452838070096,0.6095609028957918,-0.32618244627318443,0.8642829093815249,0.8861830278545664,-0.523934402204357,0.4945381358509119,-0.32586223641099366,-0.4866789564495641,-0.43034832639568993,-0.12624235956330365,-0.4192842138386286,-0.4898843787960229,-0.63322607626626,-0.47573332121125056,0.921381827505848,-0.3432143307229025,-0.6040533394682525,-0.43407099997107834,-0.3920002072429977,0.6911658482657017,-0.5050581495021494,-0.561145316832256,-0.5101286917937032,-0.5503591741413785,-0.45639906523944695,0.4139797972764967,-0.20841364182088043,-0.362822201624395,0.660457685294427,-0.1847520372583004,-0.6446271485262748,-0.17493286968996427,0.9580757943854494,-0.6746433907501326,-0.4682920858828219,0.8162422362140076,-0.39319246313668765,-0.49454337229042766,-0.5205797335302099,0.6541844574715535,0.8596496836901459
Cer 40:2;O2,-0.44037820195978117,0.8750437772822394,0.8040724875987557,1.0,0.8598503860268114,0.70574730091324,0.8319005121478538,-0.5004353636695612,0.7889497417260922,0.7982281240133812,0.7568927252676054,0.7989795783500522,0.7895207016177956,0.7820416096827251,0.7945554984846467,0.8081849748688592,0.15317295303638945,-0.07805885939889522,0.15784973097713165,0.47482048928778947,-0.1896766307929706,-0.37273035856862213,-0.5810947343868877,0.258932543275707,0.743343397678851,0.13393195430985858,0.8241260221351281,0.760423196748126,0.7422893006948347,0.42891053730395445,-0.3915211231850178,0.4788440838580836,0.8062265225541448,-0.296896951317553,0.09119278373776575,-0.5690343308256967,-0.3773910647221892,-0.29108874019042613,-0.2553766774043941,0.19917238718803776,0.5192317886775134,-0.6460853750370922,-0.5050655786208093,-0.456789404540431,-0.04901255204225889,-0.3860025613828594,-0.09261566927470714,-0.33603630457846584,0.01439073376244147,-0.36541749805802914,-0.04952521568875773,0.6225179823816575,0.4877138510368439,-0.3490310527906558,0.7574370814851784,0.7627215313192599,-0.40182960565051956,-0.565931693827597,-0.340268109060412,-0.4659580692186946,0.6472576623631878,0.811001691084847,-0.16773254824971548,-0.28400140175994765,-0.36445489616908056,0.6045842781541779,-0.20980516188884055,0.7620465081735648,0.7997096427235115,-0.44321875663833865,0.5650843963178646,-0.23622661726652885,-0.39906637316443827,-0.35755270149225343,-0.030991606569187924,-0.2922638920167295,-0.40910132342896877,-0.5402819991593261,-0.3759956933002941,0.7459607642791691,-0.2075206188211905,-0.49101489384918606,-0.3783351842444635,-0.321560423687866,0.7196428949641883,-0.39607963073530517,-0.5084286955717302,-0.40212961429991073,-0.424177319183787,-0.34457363572832994,0.4195544637648333,-0.11035773040783368,-0.3257678917130328,0.6940855384087681,-0.2016536757093301,-0.5309469236862026,-0.08091063171551059,0.8269789065619783,-0.5400195140027882,-0.35567999662478833,0.7662931038997302,-0.3795647136605024,-0.4473073832423675,-0.4730013116254014,0.5944809727941921,0.8076152101024625
Cer 41:2;O2,-0.5060181761737313,0.979371332641366,0.8383005289987258,0.8598503860268114,1.0,0.7248074359397131,0.8734669544450309,-0.5242356375106783,0.9176747079230624,0.9356565795769045,0.8745011967156614,0.873499715143244,0.8622831008013337,0.8724211711408375,0.8718838228708702,0.8894041203105247,0.1263841190213156,-0.12818412606237709,0.19211241338027427,0.5555989194838025,-0.20539196724253753,-0.4523943620930555,-0.6311809122838549,0.2837158196669619,0.8794313032651044,0.16888407374756675,0.9236282094308111,0.8048446500215616,0.7778984509393364,0.45797855047494523,-0.4298226987131248,0.5630588969404656,0.9261625379902991,-0.3493572549619402,0.01655828130277952,-0.6673388373212197,-0.4010784624643749,-0.3050032514843585,-0.314932286539591,0.23587424396888215,0.5894410907215103,-0.7732739502994113,-0.5783110549696033,-0.5240858079123402,-0.1264631464192443,-0.48213228510905715,-0.19856269745916155,-0.40152182414362636,-0.03948381238389645,-0.46018955714519033,0.0542761780562693,0.7434597516823537,0.562096027673214,-0.4052370973198074,0.869168569090731,0.8680940080883395,-0.4707737588849452,-0.6803930074564887,-0.3519430785566888,-0.4986307271153572,0.745452559222926,0.9318157007849195,-0.19486400144315064,-0.3010774229644204,-0.3682107233219604,0.7051177774038703,-0.25267341492370987,0.7822316882404757,0.8775009066196129,-0.5302096193555932,0.58026050969779,-0.30272425682359255,-0.4426033344004244,-0.4139673896539322,-0.052798372156977594,-0.2800630089543974,-0.4858805387125028,-0.545665349497729,-0.40746850164866694,0.7765315712262904,-0.22070721258916004,-0.5460814348400458,-0.42633935376900145,-0.39763150340282477,0.8424445757002437,-0.4630514837803791,-0.6184571017982863,-0.47142274737468837,-0.49844733872834623,-0.35583167762344986,0.5067713518328109,-0.11706666756753517,-0.40764107789094756,0.7649773636378696,-0.22822870945168797,-0.6034772363526569,-0.08403890983838633,0.8876569693574557,-0.5930184961608124,-0.3962162213055022,0.8784963237102221,-0.4343490181324326,-0.5411388428432915,-0.5803509479786482,0.6544111445859823,0.8726987715482988
Cer 42:1;O2,-0.525453217085974,0.7763353830110706,0.8513397251032769,0.70574730091324,0.7248074359397131,1.0,0.6906560626323992,-0.5666236895513618,0.7027961437432971,0.7111385667480865,0.7727628391045769,0.808661871769516,0.73615667832047,0.7118342235181373,0.7424947762851442,0.7723711210491582,0.2009298905332203,0.036402630814646834,0.11070036302784554,0.3924789980606763,-0.29609083107214434,-0.3496233462879652,-0.576213295965803,0.21902702601188184,0.726716576673029,0.011846150455314036,0.7379528962979426,0.8370037354347868,0.8350239880727807,0.3630718013565098,-0.42207988344981706,0.40627001770697424,0.7602392070977758,-0.3776669369699443,0.06189041397277635,-0.5548178536447822,-0.41560282682099503,-0.3476204921053522,-0.223973286639287,0.15281612574786546,0.4617749797514985,-0.5729758439222425,-0.554277682231418,-0.468375662731469,-0.06604959814272482,-0.358305104973944,-0.18522768487723915,-0.35125825814676404,-0.0248893496001468,-0.38811263174689986,-0.13086978970590266,0.5005391197975824,0.3928825127807545,-0.41011186153162466,0.6777854857279123,0.7214133506662256,-0.47580570743984946,-0.5336581933387,-0.3959369582612305,-0.539947383128464,0.5566526772235296,0.7747052889630065,-0.26539236968524943,-0.2966836905419148,-0.410478420470635,0.5188863721545798,-0.3171617550076375,0.7989177733940798,0.776979179916665,-0.46244459551844197,0.4474119863306129,-0.3026535695752071,-0.42947614277739005,-0.3934320832766148,-0.1021699690708946,-0.3631760833446792,-0.4182714244507372,-0.5486030610495876,-0.4140124646216017,0.8242515285951797,-0.33891571645696916,-0.547353889157787,-0.3804517550654195,-0.3438087488033559,0.599710905920204,-0.45446027693180713,-0.5006090716421763,-0.47028309867153817,-0.5067383798464934,-0.4000363434862328,0.3899533578552171,-0.20802028809980802,-0.29213606904326006,0.5769974381772432,-0.1700734116937831,-0.5749451004306141,-0.16074163634495253,0.8493826271109897,-0.5999103578273953,-0.406469295522389,0.7103479781276837,-0.3312647340652864,-0.43018749903721576,-0.4568068602050951,0.5739096490837957,0.7838513479147216
Cer 42:2;O2,-0.43518195354478173,0.8805297860455327,0.7876264949830646,0.8319005121478538,0.8734669544450309,0.6906560626323992,1.0,-0.4780234845208517,0.8008717528093564,0.8047021569591247,0.7582846249385636,0.787410725649781,0.7848864940546827,0.7754466504374767,0.8009959307824039,0.8087088963655654,0.1440155675214858,-0.07461785224644724,0.16096463668069605,0.47751185062881163,-0.1910142310739178,-0.3761374416087074,-0.5646145378887903,0.26433286459790845,0.7498000897813566,0.12896128460226577,0.8243474317861935,0.7390860120069246,0.7177492765118533,0.41706497072282445,-0.38531587244438426,0.4836960349114308,0.8070713493681951,-0.30151724450924955,0.057455538136605415,-0.5705657587584743,-0.3622342597480145,-0.28475494023051307,-0.25679698422220226,0.20914287365875103,0.5292638118394282,-0.6532740164703419,-0.5007528542775217,-0.4525057055470247,-0.06725353275574805,-0.38628663539544755,-0.1007486332515921,-0.32814081759041774,0.019133870300846244,-0.3540382172139761,-0.02139123281353687,0.6354416589814881,0.5032667717748087,-0.3363732911921427,0.7656340623188487,0.7661893138305557,-0.399738282251976,-0.5699303835890408,-0.3017166013624237,-0.4369380547386436,0.6526620873657524,0.8114694882927286,-0.17257296634094121,-0.2672387042977736,-0.3345587804551823,0.6197151746003379,-0.21804940846192658,0.7399398515735441,0.7882835091312661,-0.4434966089419727,0.5770477335825631,-0.23832890457197303,-0.3801987379482084,-0.3649626427214839,-0.0354131588095433,-0.2589611724291358,-0.4045764699252565,-0.5195914141954434,-0.3538335870374236,0.7242152554571022,-0.19130908193408,-0.4799996936850833,-0.37358936915550606,-0.3118910394566299,0.73401583769801,-0.39046500857512184,-0.503715587863999,-0.3979824679378092,-0.41271095619755416,-0.3067690572056283,0.4226548054724413,-0.1085372313445344,-0.33467972245366046,0.7005125310974101,-0.21204591085420907,-0.5214703304571813,-0.06901984183441595,0.8159998550229351,-0.5219057357410435,-0.3474440823124841,0.7740564777372434,-0.3920679673183153,-0.46494298066425516,-0.47152839841258354,0.5981706562500414,0.8089798692127623
DG 35:0,0.7517041837169416,-0.5788012209217304,-0.6610473393027009,-0.5004353636695612,-0.5242356375106783,-0.5666236895513618,-0.4780234845208517,1.0,-0.6445396933475458,-0.6446710629878446,-0.6734501643685715,-0.6904417435292536,-0.6310168779973946,-0.6020655794866886,-0.6224929038241597,-0.6215800698191235,0.20523245402543472,0.12702029786048052,-0.06070106159780186,-0.14687326126361694,0.4909322399301376,0.2582309883739485,0.7915478716004858,0.2175779129258218,-0.5740959313376826,0.12348979843922893,-0.5407157870612805,-0.6841447521480007,-0.6804860620179419,-0.18953686438164857,0.7453578176799525,-0.20659700668736225,-0.6137912324871215,0.46506027019258056,0.043991639758427896,0.7167497152037565,0.6857373165276166,0.6631470383052056,0.5552085241009375,0.05605323778365539,-0.14261026199645482,0.682067483044972,0.771950785963342,0.6183286631451427,0.2525148512287068,0.6603629141277689,0.4915042851681106,0.7685809965054833,0.5209637748546123,0.45919098431625804,0.17966209350703444,-0.23834698961883782,-0.13191499170025214,0.49278980540651757,-0.5077496819213262,-0.5383702993574563,0.5806139951389043,0.66549335134744,0.6503385372406917,0.7551822937780533,-0.46649021942611124,-0.6374802125749763,0.3244629866698166,0.5050841483737276,0.6709363711071082,-0.4252170177072632,0.3331220267817508,-0.5610664576198758,-0.6942756020748232,0.7788168771210706,0.07021061261766035,0.5023574298822961,0.721914517062639,0.5025040797877205,0.30380151676136297,0.7333906016366841,0.6300541733618815,0.8322335928119904,0.7050461673612666,-0.6821148131813136,0.49140599524412554,0.781036831102928,0.6325838396060499,0.44717766052749497,-0.32240391027263776,0.5133939638902696,0.5524447563203563,0.585945360687913,0.6271926333648835,0.6568202165667414,-0.02641245171147724,0.25419181243732286,0.6207641270351993,-0.3985575397090528,0.5499649893474611,0.8079750865231676,0.5315644557371766,-0.6671194882816172,0.8630444862519767,0.7864843111727583,-0.5683316531168658,0.5736734883654094,0.5516256919603009,0.6766336297643382,-0.5548390856565021,-0.5576834019968376
Hex2Cer 40:0;O2,-0.6211179144219319,0.9137705699916886,0.802483727765659,0.7889497417260922,0.9176747079230624,0.7027961437432971,0.8008717528093564,-0.6445396933475458,1.0,0.9654006972657964,0.9029250594057191,0.8827602724394562,0.8856238409315659,0.8840579999849522,0.8952969495558633,0.9011426940754973,0.07196760003238054,-0.2057669675856554,0.14408309782002154,0.4918364569345231,-0.27882498129619576,-0.4912844418674857,-0.7277148049738122,0.2146161045798915,0.888035360133299,0.14814035278317816,0.9129820174797763,0.8204192842872291,0.7940229122754785,0.42424588689509857,-0.5487162582987214,0.5032879507771603,0.9244388829491295,-0.38526021356819345,-0.04789431785049492,-0.7469624884915652,-0.4938222658551803,-0.3816658333576264,-0.39527160787789434,0.20446983206774202,0.5195792103769651,-0.8046542529056755,-0.6875949131264261,-0.5943352811705943,-0.19010868051691357,-0.6189469241767065,-0.3180638083473075,-0.5615246072625426,-0.2105910246869807,-0.5243464671068079,0.00621811928532578,0.651945516227081,0.4718421755167288,-0.495052850236157,0.8539614636959494,0.840154859470461,-0.5577990579808536,-0.7198228399731362,-0.43138480022684866,-0.5753286557326617,0.7481570612947537,0.9222362069185603,-0.26942160224561057,-0.38408875877563897,-0.44942287901293776,0.7055095029891548,-0.26699274727926514,0.7435881782342961,0.8885772160049125,-0.6476933267220312,0.40070552160351414,-0.41895290097436716,-0.5608848767226847,-0.4829357677291886,-0.14060286726292395,-0.40943693676922144,-0.5794331349224822,-0.6416026713469105,-0.491104813194053,0.7821891013027825,-0.28334838414404595,-0.6598021177419816,-0.5721388724128468,-0.46655655324840195,0.7866917173491964,-0.5292623305117744,-0.6904645625984425,-0.5672895693611485,-0.5834608535954732,-0.43576224482173376,0.4911826150298333,-0.1395657209294969,-0.5489141521561416,0.7340391114966247,-0.41070688586391185,-0.7192895256827018,-0.21636699862758504,0.8662811916441705,-0.69789629241875,-0.5437068956000145,0.8551468646388591,-0.4831227519087909,-0.6380946741274542,-0.6823314838423282,0.673840141562426,0.8321206611901187
Hex2Cer 40:1;O2,-0.6361149921377464,0.9394696839088982,0.8090955554300193,0.7982281240133812,0.9356565795769045,0.7111385667480865,0.8047021569591247,-0.6446710629878446,0.9654006972657964,1.0,0.9146123426049692,0.888798081181761,0.8635963222332556,0.8769085686712822,0.8662191797893284,0.8930913978652882,0.08059390490675018,-0.16921531018407213,0.21683029947381838,0.5187512189158752,-0.29564065069667,-0.4446516762874645,-0.7235041269542541,0.22583367039717303,0.9099612074525779,0.11337684820175555,0.913741695756287,0.8172377809146745,0.7939173387861248,0.42165794905984444,-0.546764054102846,0.5426371685338175,0.9385390231642684,-0.4265050857843551,-0.04887554886114084,-0.7541589166770631,-0.49836689669593276,-0.3888810880684495,-0.3857647270472074,0.21654556158421412,0.5576625859294647,-0.8109265995973081,-0.6864047180611206,-0.5924631195406077,-0.20536431489691176,-0.5998413261527705,-0.3214511691849019,-0.5458402774398547,-0.19573974881809342,-0.5196885216537862,0.08782195957179763,0.681811146741987,0.5017883966378505,-0.4668291941575448,0.8595963155360665,0.8565078162834268,-0.558592024170152,-0.7341409456331663,-0.45463382889365705,-0.6105038013039964,0.7429276395742723,0.9435154925621381,-0.24854434665472247,-0.3687522751255747,-0.46027936104338196,0.6939436897340506,-0.3039494120380819,0.7551043925052789,0.8929610598840791,-0.6469486501611001,0.42589352490115273,-0.4077259269672816,-0.5546993322034315,-0.470925795564576,-0.11959931064632469,-0.4122654483160377,-0.5583562301099787,-0.6393100134394119,-0.49353823447325834,0.7755103016998826,-0.3124316587795563,-0.6697818971280998,-0.5414004335363591,-0.45998651921211653,0.8010563288488849,-0.5264699222828424,-0.683500908494985,-0.5607962101770743,-0.5939093187116922,-0.4583318511912433,0.5158375383144045,-0.17043070320201276,-0.5202475955456463,0.7246332625143017,-0.3691197832758008,-0.7277060926187678,-0.21091568064069735,0.8744408494391653,-0.7210088152313349,-0.5386173941434534,0.8635897529332065,-0.48369315437366434,-0.621557813408847,-0.6881246734472533,0.6887318917796952,0.8531102773346354
