,reagent,product,enzyme
LPC 16:0->PC 38:6,LPC 16:0,PC 38:6,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 36:4,LPC 16:0,PC 36:4,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 34:2,LPC 16:0,PC 34:2,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 30:0,LPC 16:0,PC 30:0,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 32:1,LPC 16:0,PC 32:1,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 32:0,LPC 16:0,PC 32:0,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 34:1,LPC 16:0,PC 34:1,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 34:0,LPC 16:0,PC 34:0,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 36:3,LPC 16:0,PC 36:3,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 36:2,LPC 16:0,PC 36:2,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 36:1,LPC 16:0,PC 36:1,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 38:5,LPC 16:0,PC 38:5,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 38:4,LPC 16:0,PC 38:4,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 38:2,LPC 16:0,PC 38:2,"('Lpcat1', 'Lpcat2')"
LPC 16:0->PC 38:1,LPC 16:0,PC 38:1,"('Lpcat1', 'Lpcat2')"
LPC 16:0->LPC 18:0,LPC 16:0,LPC 18:0,"('Lpcat3', 'Lpcat4')"
PC 38:6->LPC 16:0,PC 38:6,LPC 16:0,Pla2g2a
PC 38:6->LPC 22:6,PC 38:6,LPC 22:6,Pla2g2a
PC 38:6->LPC 18:1,PC 38:6,LPC 18:1,Pla2g2a
PC 38:6->LPC 20:4,PC 38:6,LPC 20:4,Pla2g2a
PC 36:4->LPC 16:0,PC 36:4,LPC 16:0,Pla2g2a
PC 36:4->LPC 20:4,PC 36:4,LPC 20:4,Pla2g2a
PC 36:4->LPC 18:1,PC 36:4,LPC 18:1,Pla2g2a
